"OTU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8"
"OTU.733",0.785366281089287,0.00707127957127054,0.987923874839558,0.00715771705832996,0.994289016833656,NA,"Bacteria","Actinobacteria","MB-A2-108",NA,NA,NA,NA,NA
"OTU.732",0.7094301076283,-0.570631282982165,1.00812272820938,-0.566033546327954,0.571370976229505,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA
"OTU.2639",0.251962068476911,0.117807870727047,0.916483207086305,0.128543403541003,0.897718952046035,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Gemmata","uncultured_bacterium",NA
"OTU.734",0.761975571440782,0.0119938932041547,0.985664702062771,0.0121683298377777,0.990291317083555,NA,"Bacteria","Chloroflexi","Gitt-GS-136","uncultured_bacterium",NA,NA,NA,NA
"OTU.737",0.48184068286355,-1.0820242175945,0.984513057620795,-1.09904506519127,0.271748409685486,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_bacterium",NA
"OTU.736",0.0702335252149368,0.768219730518045,0.818528574550002,0.938537461493491,0.347968274614872,NA,"Bacteria","Armatimonadetes",NA,NA,NA,NA,NA,NA
"OTU.2634",0.13529582824394,-0.320104722160049,0.808103148117882,-0.396118642657922,0.692017505954165,NA,"Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","uncultured_bacterium",NA,NA,NA
"OTU.589",0.81359487366694,0.457058753009875,0.967406419503356,0.472457845839516,0.636600023642582,NA,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","uncultured_bacterium",NA
"OTU.2633",0.0823336460329628,-0.210943756691133,0.806004033135888,-0.261715510120245,0.79354078187003,NA,"Bacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA,NA,NA
"OTU.2632",0.211761673654152,0.330933478248528,0.854758135058858,0.387166222437579,0.698633154497528,NA,"Bacteria","Planctomycetes","OM190","uncultured_microorganism",NA,NA,NA,NA
"OTU.586",1.38058735248406,1.49475666251862,0.884474111104896,1.68999481584752,0.0910289464462787,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA
"OTU.587",1.02130336735154,0.53740073762996,0.93055562884544,0.577505224805017,0.563598210131255,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","PHOS-HE51","uncultured_bacterium",NA,NA
