OTU,shift,Day,Treatment
OTU.4964,,1,13CXPS
OTU.4963,,1,13CXPS
OTU.4962,,1,13CXPS
OTU.4961,0.0,1,13CXPS
OTU.4960,,1,13CXPS
OTU.4969,-0.007908704821594448,1,13CXPS
OTU.4968,,1,13CXPS
OTU.4900,,1,13CXPS
OTU.6187,,1,13CXPS
OTU.6186,,1,13CXPS
OTU.6185,,1,13CXPS
OTU.6184,,1,13CXPS
OTU.6183,,1,13CXPS
OTU.6182,,1,13CXPS
OTU.6181,,1,13CXPS
OTU.6180,,1,13CXPS
OTU.6189,,1,13CXPS
OTU.6188,,1,13CXPS
OTU.560,-0.003971773623965058,1,13CXPS
OTU.561,-0.005752644652261774,1,13CXPS
OTU.562,-0.0003556820098351565,1,13CXPS
OTU.563,-0.005654165516020049,1,13CXPS
OTU.564,0.005709762851318079,1,13CXPS
OTU.565,0.005078297505020535,1,13CXPS
OTU.566,-0.006332580477920846,1,13CXPS
OTU.567,0.021575142472121556,1,13CXPS
OTU.2514,,1,13CXPS
OTU.2515,-0.022810238373481617,1,13CXPS
OTU.2516,,1,13CXPS
OTU.2517,,1,13CXPS
OTU.2510,,1,13CXPS
OTU.2511,0.0270270171195659,1,13CXPS
OTU.2512,0.005918191472871426,1,13CXPS
OTU.2513,,1,13CXPS
OTU.3609,,1,13CXPS
OTU.3608,,1,13CXPS
OTU.3603,,1,13CXPS
OTU.3602,,1,13CXPS
OTU.3601,-0.007099801328721789,1,13CXPS
OTU.3600,,1,13CXPS
OTU.3607,,1,13CXPS
OTU.3606,,1,13CXPS
OTU.3605,,1,13CXPS
OTU.3604,,1,13CXPS
OTU.788,-0.002963272542865436,1,13CXPS
OTU.789,0.03430252781719423,1,13CXPS
OTU.784,-0.007020980657282072,1,13CXPS
OTU.785,-0.003738975491378138,1,13CXPS
OTU.786,-0.005122124328371225,1,13CXPS
OTU.787,,1,13CXPS
OTU.780,-0.0001342809048441307,1,13CXPS
OTU.781,0.0,1,13CXPS
OTU.782,-0.006136831903538864,1,13CXPS
OTU.783,-0.0011950574848114126,1,13CXPS
OTU.4585,,1,13CXPS
OTU.4584,,1,13CXPS
OTU.4587,,1,13CXPS
OTU.4586,,1,13CXPS
OTU.4581,,1,13CXPS
OTU.4580,-0.0438093082122506,1,13CXPS
OTU.4583,,1,13CXPS
OTU.4582,,1,13CXPS
OTU.1937,,1,13CXPS
OTU.4589,,1,13CXPS
OTU.4588,,1,13CXPS
OTU.2538,,1,13CXPS
OTU.6106,,1,13CXPS
OTU.2108,,1,13CXPS
OTU.2550,-0.009799984997040267,1,13CXPS
OTU.2551,,1,13CXPS
OTU.2552,,1,13CXPS
OTU.2103,,1,13CXPS
OTU.2553,0.02674788049119714,1,13CXPS
OTU.5734,,1,13CXPS
OTU.2554,-0.02656658934135603,1,13CXPS
OTU.2101,,1,13CXPS
OTU.2555,,1,13CXPS
OTU.2100,,1,13CXPS
OTU.298,-0.0032739305564393195,1,13CXPS
OTU.5768,,1,13CXPS
OTU.5769,,1,13CXPS
OTU.5766,,1,13CXPS
OTU.5767,,1,13CXPS
OTU.5764,,1,13CXPS
OTU.299,-0.004911668153288584,1,13CXPS
OTU.5762,,1,13CXPS
OTU.5763,,1,13CXPS
OTU.5760,,1,13CXPS
OTU.5761,,1,13CXPS
OTU.296,-0.00283759499261782,1,13CXPS
OTU.5733,,1,13CXPS
OTU.297,-0.007093705857062149,1,13CXPS
OTU.2104,,1,13CXPS
OTU.294,0.0009325191216869033,1,13CXPS
OTU.295,-0.003912894270732936,1,13CXPS
OTU.4927,,1,13CXPS
OTU.4926,0.00048691048417648375,1,13CXPS
OTU.522,-0.013676186300527693,1,13CXPS
OTU.4924,,1,13CXPS
OTU.5359,,1,13CXPS
OTU.5358,,1,13CXPS
OTU.5357,,1,13CXPS
OTU.5356,,1,13CXPS
OTU.5355,,1,13CXPS
OTU.5354,,1,13CXPS
OTU.5353,,1,13CXPS
OTU.5352,,1,13CXPS
OTU.5351,,1,13CXPS
OTU.5350,,1,13CXPS
OTU.2556,,1,13CXPS
OTU.2477,,1,13CXPS
OTU.3010,,1,13CXPS
OTU.1298,0.01276159739642524,1,13CXPS
OTU.1299,-0.02870871698112043,1,13CXPS
OTU.2557,-0.003313831965987557,1,13CXPS
OTU.1293,0.0209142690302202,1,13CXPS
OTU.1290,-0.007383192521116522,1,13CXPS
OTU.1291,0.0024316197189055977,1,13CXPS
OTU.1296,-0.010948689160846348,1,13CXPS
OTU.1297,0.0031380726275007653,1,13CXPS
OTU.1294,0.012289387225229875,1,13CXPS
OTU.1295,-0.004778853248700754,1,13CXPS
OTU.3011,,1,13CXPS
OTU.1458,-0.023124709103920615,1,13CXPS
OTU.4179,,1,13CXPS
OTU.5979,0.014751608272341787,1,13CXPS
OTU.5978,0.0006479501757001849,1,13CXPS
OTU.5973,,1,13CXPS
OTU.2475,,1,13CXPS
OTU.5971,,1,13CXPS
OTU.5970,,1,13CXPS
OTU.5977,,1,13CXPS
OTU.5976,0.0021905911164135095,1,13CXPS
OTU.5947,,1,13CXPS
OTU.5974,,1,13CXPS
OTU.3016,0.005526676825732935,1,13CXPS
OTU.4174,,1,13CXPS
OTU.4175,0.014601278881185342,1,13CXPS
OTU.4176,,1,13CXPS
OTU.4000,,1,13CXPS
OTU.4001,,1,13CXPS
OTU.4002,,1,13CXPS
OTU.4003,,1,13CXPS
OTU.4004,,1,13CXPS
OTU.4005,,1,13CXPS
OTU.4006,,1,13CXPS
OTU.4007,,1,13CXPS
OTU.4008,,1,13CXPS
OTU.1450,,1,13CXPS
OTU.3017,,1,13CXPS
OTU.4171,,1,13CXPS
OTU.4172,0.017043395906558123,1,13CXPS
OTU.4173,,1,13CXPS
OTU.4829,,1,13CXPS
OTU.2473,-0.014817809233785173,1,13CXPS
OTU.5994,,1,13CXPS
OTU.2472,,1,13CXPS
OTU.5992,,1,13CXPS
OTU.2471,-0.006073232997386713,1,13CXPS
OTU.5998,,1,13CXPS
OTU.959,0.0007753800586272064,1,13CXPS
OTU.958,0.006238797519698469,1,13CXPS
OTU.951,-0.00714911318136191,1,13CXPS
OTU.950,0.007988770697159309,1,13CXPS
