copies_per_uL,dilution_factor,volume,Density,treatment,day
1538.1333900582,30,46,1.66848616,13CCPS,3
556.1872129835,30,43,1.66302236,13CCPS,3
258.7092756492,30,42,1.65974408,13CCPS,3
10.0265840793,30,47,1.65537304,13CCPS,3
235.0071090308,30,35,1.65209476,13CCPS,3
91.1018088315,30,43,1.64990924,13CCPS,3
27.0455587477,30,50,1.76902008,13CXPS,7
12.637825835,30,50,1.7657418,13CXPS,7
47.4256863611,30,51,1.76137076,13CXPS,7
77.4362354373,30,47,1.7548142,13CXPS,7
392.2333238734,30,48,1.75153592,13CXPS,7
100.9628914227,30,51,1.74497936,13CXPS,7
219.6727742071,30,46,1.74170108,13CXPS,7
175.7985341965,30,48,1.73623728,13CXPS,7
1031.973430519,30,48,1.72968072,13CXPS,7
2130.7667124381,30,48,1.72640244,13CXPS,7
7267.9652039341,30,48,1.72093864,13CXPS,7
11818.480835099,30,49,1.71766036,13CXPS,7
50762.7115423249,30,44,1.71438208,13CXPS,7
72152.6593564645,30,44,1.71001104,13CXPS,7
117664.719051021,30,43,1.70564,13CXPS,7
137188.12187591,30,53,1.70126896,13CXPS,7
96436.9069014731,30,60,1.69689792,13CXPS,7
96914.825869499,30,60,1.69252688,13CXPS,7
44241.015239949,30,60,1.68815584,13CXPS,7
10608.5697439051,30,47,1.68487756,13CXPS,7
9630.6591417311,30,48,1.68159928,13CXPS,7
4238.6848463392,30,49,1.67722824,13CXPS,7
357.0812882573,30,44,1.67394996,13CXPS,7
170.7684208689,30,45,1.66957892,13CXPS,7
641.2573496398,30,45,1.66411512,13CXPS,7
212.642684644,30,46,1.66083684,13CXPS,7
191.8123024125,30,46,1.6564658,13CXPS,7
81.399179492,30,48,1.65318752,13CXPS,7
103.863033808,30,41,1.64990924,13CXPS,7
73.3707123137,30,46,1.64663096,13CXPS,7
14.4915317181,30,46,1.64225992,13CXPS,7
119.1670819869,30,48,1.63898164,13CXPS,7
146.6500724033,30,48,1.63570336,13CXPS,7
158.0803171086,30,49,1.63242508,13CXPS,7
142.6195348125,30,48,1.6291468,13CXPS,7
125.0110625847,30,48,1.62586852,13CXPS,7
