"OTU","Day","Treatment","p.below","padj.below"
"OTU.47",3,"13CCPS",0.0149359997469783,0.0432105727417468
"OTU.173",3,"13CCPS",0.0910951521323141,0.163780355854655
"OTU.124",3,"13CCPS",0.0209045025188754,0.0557694832830049
"OTU.111",3,"13CCPS",0.0421727500068498,0.0916732538610437
"OTU.211",3,"13CCPS",0.0393175773534642,0.086882079855585
"OTU.540",3,"13CCPS",0.00021981034235278,0.00197746982146583
"OTU.1503",3,"13CCPS",0.0219569708194151,0.0578273434991635
"OTU.863",3,"13CCPS",0.257879436529524,0.365443307695526
"OTU.108",3,"13CCPS",0.854645540901474,0.957043631349809
"OTU.2013",3,"13CCPS",0.0290588558077974,0.0716625992303176
"OTU.118",3,"13CCPS",0.101713481150247,0.177040421538328
"OTU.328",3,"13CCPS",0.327737116177812,0.440282188511803
"OTU.168",3,"13CCPS",0.140067753419821,0.227326178185412
"OTU.178",3,"13CCPS",0.879467761630533,0.977027335557506
"OTU.332",3,"13CCPS",0.000388745272937182,0.00299284021024074
"OTU.4973",3,"13CCPS",0.939067600933738,0.999999999992215
"OTU.5706",3,"13CCPS",0.0291040605696577,0.0717004651162233
"OTU.253",3,"13CCPS",0.184846426450679,0.282263901039117
"OTU.146",3,"13CCPS",0.115696636545251,0.194252041572108
"OTU.128",3,"13CCPS",0.29833427588567,0.410188283158203
"OTU.3616",3,"13CCPS",0.262117759390058,0.369921773240258
"OTU.5953",3,"13CCPS",0.879812708913774,0.977027335557506
"OTU.5978",3,"13CCPS",0.00856479983152816,0.0296776793843689
"OTU.36",3,"13CCPS",0.116734789419692,0.195398581314356
"OTU.1800",3,"13CCPS",0.0861593893310124,0.157021891633605
"OTU.536",3,"13CCPS",0.000339604622166678,0.00273735000820255
"OTU.413",3,"13CCPS",0.0621921983529485,0.123579476402511
"OTU.44",3,"13CCPS",0.00339932260216814,0.0145806658757283
"OTU.52",3,"13CCPS",0.00126657972765654,0.00731328006209377
"OTU.55",3,"13CCPS",0.140172878444623,0.227343183000665
"OTU.2972",3,"13CCPS",0.222810445938105,0.327356643023032
"OTU.1371",3,"13CCPS",0.83204757240039,0.934788713239353
"OTU.189",3,"13CCPS",0.0606969109935947,0.121596313766985
"OTU.4283",3,"13CCPS",0.0221565599261827,0.0579807583739857
"OTU.2703",3,"13CCPS",0.0233969076814431,0.0607560781090014
